id,trialid,source_register,date_registration,date_enrollement,retrospective_registration,normed_spon_names,recruitment_status,phase,study_type,countries,public_title,study_category,intervention,intervention_list,target_enrollment,web_address,trial_status,pcd_auto,scd_auto,rcd_auto,tabular_results,potential_other_results,registry_scraped,is_clinical_trial_manual,is_covid_manual,rcd_manual,pcd_manual,scd_manual,comments,is_intervention,is_reg_2020,is_not_withdrawn,is_eligible_study,is_rcd_cutoff_1,has_auto_reg_results_cutoff_1,is_searched_cutoff_1,is_not_withdrawn_manual,is_rcd_cutoff_1_manual,is_analysis_pop_cutoff_1,is_dupe,dupe_primary
tri00011,ChiCTR2000029941,ChiCTR,2020-02-16,2020-03-01,FALSE,Longhua Hospital Affiliated to Shanghai University of Traditional Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,A randomized controlled trial for Traditional Chinese Medicine in the treatment for Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,200,http://www.chictr.org.cn/showproj.aspx?proj=49596,Not yet recruiting,NA,2020-06-01,2020-06-01,0,0,TRUE,TRUE,TRUE,2020-06-01,NA,2020-06-01,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00012,ChiCTR2000029939,ChiCTR,2020-02-16,2020-02-10,TRUE,"Hwa Mei Hospital, University of Chinese Academy of Sciences",Recruiting,Not Applicable,Interventional,China,"A Single-blind, Randomized, Controlled Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19)",Drug,Chloroquine,Chloroquine,100,http://www.chictr.org.cn/showproj.aspx?proj=49612,Recruiting,NA,2021-02-06,2021-02-06,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00013,ChiCTR2000029935,ChiCTR,2020-02-16,2020-02-06,TRUE,"Hwa Mei Hospital, University of Chinese Academy of Sciences",Recruiting,Not Applicable,Interventional,China,A Single-arm Clinical Trial for Chloroquine Phosphate in the treatment of Novel Coronavirus Pneumonia 2019 (COVID-19),Drug,Chloroquine,Chloroquine,100,http://www.chictr.org.cn/showproj.aspx?proj=49607,Recruiting,NA,2021-02-06,2021-02-06,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00014,ChiCTR2000029907,ChiCTR,2020-02-16,2020-02-16,FALSE,West China Hospital of Sichuan University,Not Recruiting,Not Applicable,Observational,China,Study for construction and assessment of early warning score of the clinical risk of novel coronavirus (COVID-19) infected patients,Clinical Presentation,No Intervention,No Intervention,1000,http://www.chictr.org.cn/showproj.aspx?proj=49587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00015,ChiCTR2000029905,ChiCTR,2020-02-16,2020-02-10,TRUE,Zhongnan Hospital of Wuhan University,Recruiting,Not Applicable,Observational,China,A medical records based study of novel coronavirus pneumonia (COVID-19) and influenza virus co-infection,Clinical Presentation,No Intervention,No Intervention,271,http://www.chictr.org.cn/showproj.aspx?proj=49595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00016,ChiCTR2000029896,ChiCTR,2020-02-16,2020-01-31,TRUE,Affiliated Hospital of Changchun University of Traditional Chinese Medicine,Recruiting,Not Applicable,Observational,China,Evaluate the effectiveness of Traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=49432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00017,ChiCTR2000029883,ChiCTR,2020-02-16,2020-02-17,FALSE,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology",Not Recruiting,Not Applicable,Diagnostic test,China,A comparative study on the sensitivity of nasopharyngeal and oropharyngeal swabbing for the detection of SARS-CoV-2 by real-time PCR,Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,200,http://www.chictr.org.cn/showproj.aspx?proj=49549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00018,ChiCTR2000029870,ChiCTR,2020-02-15,2020-02-15,FALSE,Jiangsu Institute of Parasitic Diseases,Recruiting,Not Applicable,Diagnostic test,China,Evaluation of Rapid Diagnostic Kit (IgM/IgG) for Novel Coronavirus Pneumonia (COVID-19),Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,500,http://www.chictr.org.cn/showproj.aspx?proj=49563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00019,ChiCTR2000029869,ChiCTR,2020-02-15,2020-02-10,TRUE,Huangshi Hospital of Traditional Chinese Medicine,Not Recruiting,Phase 4,Interventional,China,"A multicenter, randomized, controlled trial for integrated Chinese and western medicine in the treatment of ordinary novel coronavirus pneumonia (COVID-19) based on the ' Internal and External Relieving -Truncated Torsion' strategy",Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,300,http://www.chictr.org.cn/showproj.aspx?proj=49486,Not yet recruiting,NA,2020-06-30,2020-06-30,0,0,TRUE,TRUE,TRUE,2020-06-30,NA,2020-06-30,protocol: https://doi.org/10.21203/rs.3.rs-44542/v1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00020,ChiCTR2000029867,ChiCTR,2020-02-15,2020-02-15,FALSE,"Beijing You'an Hospital, Capital Medical University",Recruiting,Phase 4,Interventional,China,"The efficacy and safety of carrimycin treatment in patients with novel coronavirus pneumonia (COVID-19): a multicenter, randomized, open-label, controlled trial",Drug,Carrimycin vs. lopinavir/ritonavir,Carrimycin; lopinavir; ritonavir,520,http://www.chictr.org.cn/showproj.aspx?proj=49514,Recruiting,NA,2021-02-28,2021-02-28,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00021,ChiCTR2000029855,ChiCTR,2020-02-15,2020-02-15,FALSE,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,"A randomized, open and controlled clinical trial for traditional Chinese medicine in the treatment of novel coronavirus pneumonia (COVID-19)",Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,180,http://www.chictr.org.cn/showproj.aspx?proj=49543,Recruiting,NA,NA,NA,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00022,ChiCTR2000029853,ChiCTR,2020-02-15,2020-02-16,FALSE,People's Hospital of Guangshan County,Recruiting,Not Applicable,Interventional,China,"A randomized, open-label, controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Azvudine,Azvudine,20,http://www.chictr.org.cn/showproj.aspx?proj=49532,Recruiting,NA,2020-04-16,2020-04-16,0,0,TRUE,TRUE,TRUE,2020-04-16,NA,2020-04-16,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00023,ChiCTR2000029850,ChiCTR,2020-02-15,2020-02-15,FALSE,The First Affiliated Hospital of Zhejiang University School of Medicine,Recruiting,Not Applicable,Interventional,China,Study on convalescent plasma treatment for severe patients with novel coronavirus pneumonia (COVID-19),ATMP,Plasma,Plasma,20,http://www.chictr.org.cn/showproj.aspx?proj=49533,Recruiting,NA,2022-02-15,2022-02-15,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00024,ChiCTR2000029849,ChiCTR,2020-02-15,2020-02-01,TRUE,The First Affiliated Hospital of Zhengzhou University,Recruiting,Not Applicable,Interventional,China,Application of Regulating Intestinal Flora in the Treatment of Severe Novel Coronavirus Pneumonia (COVID-19),ATMP,Intestinal microbiome,Intestinal microbiome,60,http://www.chictr.org.cn/showproj.aspx?proj=49530,Recruiting,NA,2021-02-01,2021-02-01,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00025,ChiCTR2000029839,ChiCTR,2020-02-15,2020-02-10,TRUE,Ningbo First Hospital,Recruiting,Not Applicable,Observational,China,"An observational study on the clinical characteristics, treatment and outcome of novel coronavirus pneumonia (COVID-19)",Clinical Presentation,No Intervention,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=49439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00026,ChiCTR2000029822,ChiCTR,2020-02-14,2020-02-07,TRUE,Nanjing Second Hospital,Recruiting,Not Applicable,Interventional,No Country Given,A randomized controlled trial for honeysuckle decoction in the treatment of patients with novel coronavirus (COVID-19) infection,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,110,http://www.chictr.org.cn/showproj.aspx?proj=49502,Recruiting,NA,2020-04-30,2020-04-30,0,0,TRUE,TRUE,TRUE,2020-04-30,NA,2020-04-30,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00027,ChiCTR2000029821,ChiCTR,2020-02-14,2020-02-14,FALSE,Deyang Integrated Traditional Chinese and Western Medicine Hospital,Not Recruiting,Not Applicable,Prevention,China,Based on Delphi Method to Preliminarily Construct a Recommended Protocol for the Prevention of Novel Coronavirus Pneumonia (COVID-19) in Deyang Area by Using Chinese Medicine Technology and its Clinical Application Evaluation,Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,400,http://www.chictr.org.cn/showproj.aspx?proj=49306,Not yet recruiting,NA,2020-06-01,2020-06-01,0,0,TRUE,FALSE,NA,2020-06-01,NA,2020-06-01,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA,TRUE,FALSE,NA,NA
tri00028,ChiCTR2000029819,ChiCTR,2020-02-14,2020-02-11,TRUE,"Sir Run Run Shaw Hospital, School of Medicine, Zhejiang University",Recruiting,Phase 4,Interventional,China,Ba-Bao-Dan in the adjuvant therapy of novel coronavirus pneumonia (COVID-19) patients,Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,80,http://www.chictr.org.cn/showproj.aspx?proj=49490,Recruiting,NA,2020-08-11,2020-08-11,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00029,ChiCTR2000029815,ChiCTR,2020-02-14,2020-02-01,TRUE,Guangdong Provincial Hospital of Chinese Medicine,Recruiting,Not Applicable,Observational,China,Psychological survey of frontline medical staff in various regions of China during the epidemic of novel coronavirus pneumonia (COVID-19),Other (psych),No Intervention,No Intervention,800,http://www.chictr.org.cn/showproj.aspx?proj=49346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00030,ChiCTR2000029814,ChiCTR,2020-02-14,2020-02-14,FALSE,Children's Hospital of Fudan University,Recruiting,Not Applicable,Interventional,China,Clinical Trial for Integrated Chinese and Western Medicine in the Treatment of Children with Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,30,http://www.chictr.org.cn/showproj.aspx?proj=49387,Recruiting,NA,2020-12-31,2020-12-31,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00031,ChiCTR2000029813,ChiCTR,2020-02-14,2020-02-14,FALSE,Shanghai Public Health Clinical Center,Recruiting,Not Applicable,Interventional,China,Clinical Trial for Tanreqing Capsules in the Treatment of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,72,http://www.chictr.org.cn/showproj.aspx?proj=49425,Recruiting,NA,2020-08-14,2020-08-14,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00032,ChiCTR2000029811,ChiCTR,2020-02-14,2020-02-20,FALSE,"Guangzhou reborn health management consultation co., LTD",Not Recruiting,Not Applicable,Interventional,No Country Given,Clinical Study for Anti-aging Active Freeze-dried Powder Granules in the Treatment of Acute Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine (Drug),Traditional Medicine,Traditional Medicine,60,http://www.chictr.org.cn/showproj.aspx?proj=49355,Not yet recruiting,NA,2021-02-20,2021-02-20,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00033,ChiCTR2000029810,ChiCTR,2020-02-14,2020-02-16,FALSE,Shenzhen Second People's Hospital,Recruiting,Not Applicable,Diagnostic test,China,Clinical study of a novel high sensitivity nucleic acid assay for novel coronavirus pneumonia (COVID-19) based on CRISPR-cas protein,Diagnostics,Diagnostic Test or Assessment,Diagnostic Test or Assessment,10000,http://www.chictr.org.cn/showproj.aspx?proj=49407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00034,ChiCTR2000029806,ChiCTR,2020-02-14,2020-02-12,TRUE,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),Recruiting,Not Applicable,Interventional,China,Immunomodulatory Therapy for Severe Novel Coronavirus Pneumonia (COVID-19),Drug,PD1 vs. thymosin,PD1; Thymosin,120,http://www.chictr.org.cn/showproj.aspx?proj=49161,Recruiting,NA,2021-01-31,2021-01-31,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00035,ChiCTR2000029805,ChiCTR,2020-02-14,2020-02-12,TRUE,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),Recruiting,Not Applicable,Observational,China,Analysis of clinical characteristics of severe novel coronavirus pneumonia (COVID-19),Clinical Presentation,No Intervention,No Intervention,100,http://www.chictr.org.cn/showproj.aspx?proj=49188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00036,ChiCTR2000029804,ChiCTR,2020-02-14,2020-02-12,TRUE,Wuhan Jinyintan Hospital (Wuhan Infectious Diseases Hospital),Recruiting,Not Applicable,Prognosis,China,Clinical Application of ECMO in the Treatment of Patients with Very Serious Respiratory Failure due to novel Coronavirus Pneumonia (COVID-19),Drug,Oxygen,Oxygen,100,http://www.chictr.org.cn/showproj.aspx?proj=49178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00037,ChiCTR2000029790,ChiCTR,2020-02-13,2020-02-17,FALSE,Shanghai Pulmonary Hospital,Recruiting,Not Applicable,Interventional,China,Clinical study for the integration of traditional Chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,120,http://www.chictr.org.cn/showproj.aspx?proj=49453,Recruiting,NA,2020-10-31,2020-10-31,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00038,ChiCTR2000029789,ChiCTR,2020-02-13,2020-02-15,FALSE,The First Affiliated Hospital of He'nan University of Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Randomized controlled trial for TCM syndrome differentiation treatment impacting quality of life of post-discharge patients with novel coronavirus pneumonia (COVID-19),Traditional Medicine (Other),Traditional Medicine,Traditional Medicine,100,http://www.chictr.org.cn/showproj.aspx?proj=49348,Recruiting,NA,2021-06-30,2021-06-30,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00039,ChiCTR2000029788,ChiCTR,2020-02-13,2020-03-01,FALSE,Dongzhimen Hospital Affiliated to Beijing University of Chinese Medicine,Not Recruiting,Not Applicable,Interventional,China,Traditional Chinese medicine cooperative therapy for patients with novel coronavirus pneumonia (COVID-19): a randomized controlled trial,Traditional Medicine (Unspecified),Traditional Medicine,Traditional Medicine,60,http://www.chictr.org.cn/showproj.aspx?proj=49452,Not yet recruiting,NA,2020-12-30,2020-12-30,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
tri00040,ChiCTR2000029782,ChiCTR,2020-02-13,2020-01-30,TRUE,Zhejiang Provincial People's Hospital,Not Recruiting,Not Applicable,Observational,China,Clinical study for the changes in mental state of medical staff in the department of radiotherapy in a comprehensive tertiary hospital in Zhejiang Province during the epidemic of novel coronavirus infection (COVID-19),Other (psych),No Intervention,No Intervention,27,http://www.chictr.org.cn/showproj.aspx?proj=49445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00041,ChiCTR2000029779,ChiCTR,2020-02-13,2020-02-14,FALSE,Wuxi People's Hospital,Recruiting,Not Applicable,Diagnostic test,China,Study for the key issues of the diagnosis and treatment of novel coronavirus pneumonia (COVID-19) based on the medical imaging,Clinical Presentation,No Intervention,No Intervention,0,http://www.chictr.org.cn/showproj.aspx?proj=49378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,NA,NA
tri00042,ChiCTR2000029778,ChiCTR,2020-02-13,2020-02-14,FALSE,Shanghai University of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,Clinical Study for Traditional Chinese Medicine Combined With Western Medicine in Treatment of Novel Coronavirus Pneumonia (COVID-19),Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,600,http://www.chictr.org.cn/showproj.aspx?proj=49422,Recruiting,NA,2020-05-13,2020-05-13,0,0,TRUE,FALSE,FALSE,2020-05-13,NA,2020-05-13,"Found results publication, but it's a retrospective study and should be excluded!",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,NA,NA
tri00043,ChiCTR2000029777,ChiCTR,2020-02-13,2020-02-05,TRUE,Huangshi Hospital of Traditional Chinese Medicine,Recruiting,Not Applicable,Interventional,China,"A multicenter, randomized, controlled trial for integrated chinese and western medicine in the treatment of novel coronavirus pneumonia (COVID-19) based on the 'Truncated Torsion' strategy",Traditional Medicine + Western Medicine,Traditional Medicine,Traditional Medicine,160,http://www.chictr.org.cn/showproj.aspx?proj=49380,Recruiting,NA,2020-06-30,2020-06-30,0,0,TRUE,TRUE,TRUE,2020-06-30,NA,2020-06-30,protocol: http://doi.org/10.1186/s13063-020-04498-6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,NA
tri00044,ChiCTR2000029776,ChiCTR,2020-02-13,2020-02-11,TRUE,The First Affiliated Hospital of Wenzhou Medical University,Recruiting,Phase 4,Interventional,China,"A randomized, open-label, blank-controlled, multicenter trial for Polyinosinic-Polycytidylic Acid Injection in the treatment of novel coronavirus pneumonia (COVID-19)",Drug,Polyinosinic-polycytidylic acid,Polyinosinic-polycytidylic acid,40,http://www.chictr.org.cn/showproj.aspx?proj=49342,Recruiting,NA,2020-12-31,2020-12-31,0,0,TRUE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA
