id,n_trn,source,trn,registry
tri00124,1,ictrp,ChiCTR2000030115,ChiCTR
tri00125,1,ictrp,ChiCTR2000030113,ChiCTR
tri00126,1,ictrp,ChiCTR2000030102,ChiCTR
tri00127,1,ictrp,ChiCTR2000030096,ChiCTR
tri00128,1,ictrp,ChiCTR2000030094,ChiCTR
tri00129,1,ictrp,ChiCTR2000030093,ChiCTR
tri00130,1,ictrp,ChiCTR2000030092,ChiCTR
tri00131,1,ictrp,ChiCTR2000030090,ChiCTR
tri00132,1,ictrp,ChiCTR2000030089,ChiCTR
tri00133,1,ictrp,ChiCTR2000030088,ChiCTR
tri00134,1,ictrp,ChiCTR2000030087,ChiCTR
tri00135,1,ictrp,ChiCTR2000030086,ChiCTR
tri00136,1,ictrp,ChiCTR2000030084,ChiCTR
tri00137,1,ictrp,ChiCTR2000030058,ChiCTR
tri00138,1,ictrp,ChiCTR2000030056,ChiCTR
tri00139,1,ictrp,ChiCTR2000030054,ChiCTR
tri00140,1,ictrp,ChiCTR2000030046,ChiCTR
tri00141,1,ictrp,ChiCTR2000030043,ChiCTR
tri00142,1,ictrp,ChiCTR2000030041,ChiCTR
tri00143,1,ictrp,ChiCTR2000030039,ChiCTR
tri00144,1,ictrp,ChiCTR2000030034,ChiCTR
tri00145,1,ictrp,ChiCTR2000030033,ChiCTR
tri00146,1,ictrp,ChiCTR2000030032,ChiCTR
tri00147,1,ictrp,ChiCTR2000030030,ChiCTR
tri00148,1,ictrp,ChiCTR2000030029,ChiCTR
tri00149,1,ictrp,ChiCTR2000030027,ChiCTR
tri00150,1,ictrp,ChiCTR2000030021,ChiCTR
tri00151,1,ictrp,ChiCTR2000030020,ChiCTR
tri00152,1,ictrp,ChiCTR2000030019,ChiCTR
tri00153,1,ictrp,ChiCTR2000030017,ChiCTR
tri00154,1,ictrp,ChiCTR2000030016,ChiCTR
tri00155,1,ictrp,ChiCTR2000030015,ChiCTR
tri00156,1,ictrp,ChiCTR2000030012,ChiCTR
tri00157,1,ictrp,ChiCTR2000030010,ChiCTR
tri00158,1,ictrp,ChiCTR2000030008,ChiCTR
tri00159,1,ictrp,ChiCTR2000030007,ChiCTR
tri00160,1,ictrp,ChiCTR2000030006,ChiCTR
tri00161,1,ictrp,ChiCTR2000030004,ChiCTR
tri00162,1,ictrp,ChiCTR2000030003,ChiCTR
tri00163,1,ictrp,ChiCTR2000030002,ChiCTR
tri00164,1,ictrp,ChiCTR2000030001,ChiCTR
tri00165,1,ictrp,ChiCTR2000030000,ChiCTR
tri00166,1,ictrp,ChiCTR2000029999,ChiCTR
tri00167,1,ictrp,ChiCTR2000029996,ChiCTR
tri00168,1,ictrp,ChiCTR2000029995,ChiCTR
tri00169,1,ictrp,ChiCTR2000029994,ChiCTR
tri00170,1,ictrp,ChiCTR2000029992,ChiCTR
tri00171,1,ictrp,ChiCTR2000029990,ChiCTR
tri00172,1,ictrp,ChiCTR2000029989,ChiCTR
tri00173,1,ictrp,ChiCTR2000029988,ChiCTR
tri00174,1,ictrp,ChiCTR2000029985,ChiCTR
tri00175,1,ictrp,ChiCTR2000029981,ChiCTR
tri00176,1,ictrp,ChiCTR2000029978,ChiCTR
tri00177,1,ictrp,ChiCTR2000029974,ChiCTR
tri00178,1,ictrp,ChiCTR2000029972,ChiCTR
tri00179,1,ictrp,ChiCTR2000029960,ChiCTR
tri00180,1,ictrp,ChiCTR2000029959,ChiCTR
tri00181,1,ictrp,ChiCTR2000029956,ChiCTR
tri00182,1,ictrp,ChiCTR2000029954,ChiCTR
tri00183,1,ictrp,ChiCTR2000029866,ChiCTR
tri00184,1,ictrp,ChiCTR2000029865,ChiCTR
tri00185,1,ictrp,ChiCTR2000029851,ChiCTR
tri00186,1,ictrp,ChiCTR2000029803,ChiCTR
tri00187,1,ictrp,ChiCTR2000029781,ChiCTR
tri00188,1,ictrp,ChiCTR2000029780,ChiCTR
tri00189,1,ictrp,ChiCTR2000029740,ChiCTR
tri00190,1,ictrp,NCT04270383,ClinicalTrials.gov
tri00191,1,ictrp,NCT04273529,ClinicalTrials.gov
tri00192,1,ictrp,NCT04273581,ClinicalTrials.gov
tri00193,1,ictrp,NCT04275245,ClinicalTrials.gov
tri00194,1,ictrp,NCT04275947,ClinicalTrials.gov
tri00195,1,ictrp,NCT04279197,ClinicalTrials.gov
tri00196,1,ictrp,NCT04279782,ClinicalTrials.gov
tri00197,1,ictrp,NCT04279795,ClinicalTrials.gov
tri00198,1,ictrp,NCT04279899,ClinicalTrials.gov
tri00199,1,ictrp,NCT04280588,ClinicalTrials.gov
tri00200,1,ictrp,ChiCTR2000030442,ChiCTR
tri00201,1,ictrp,ChiCTR2000030433,ChiCTR
tri00202,1,ictrp,ChiCTR2000030432,ChiCTR
tri00203,1,ictrp,ChiCTR2000030424,ChiCTR
tri00204,1,ictrp,ChiCTR2000030420,ChiCTR
tri00205,1,ictrp,ChiCTR2000030418,ChiCTR
tri00206,1,ictrp,ChiCTR2000030398,ChiCTR
tri00207,1,ictrp,ChiCTR2000030391,ChiCTR
tri00208,1,ictrp,ChiCTR2000030390,ChiCTR
tri00209,1,ictrp,ChiCTR2000030389,ChiCTR
tri00210,1,ictrp,ChiCTR2000030387,ChiCTR
tri00211,1,ictrp,ChiCTR2000030386,ChiCTR
tri00212,1,ictrp,ChiCTR2000030382,ChiCTR
tri00213,1,ictrp,ChiCTR2000030363,ChiCTR
tri00214,1,ictrp,ChiCTR2000030334,ChiCTR
tri00216,1,ictrp,ChiCTR2000030327,ChiCTR
tri00217,1,ictrp,ChiCTR2000030325,ChiCTR
tri00218,1,ictrp,ChiCTR2000030324,ChiCTR
tri00219,1,ictrp,ChiCTR2000030322,ChiCTR
tri00220,1,ictrp,ChiCTR2000030317,ChiCTR
tri00221,1,ictrp,ChiCTR2000030315,ChiCTR
tri00222,1,ictrp,ChiCTR2000030314,ChiCTR
tri00223,1,ictrp,ChiCTR2000030305,ChiCTR
tri00224,1,ictrp,ChiCTR2000030293,ChiCTR
tri00225,1,ictrp,ChiCTR2000030290,ChiCTR
tri00226,1,ictrp,ChiCTR2000030283,ChiCTR
tri00227,1,ictrp,ChiCTR2000030265,ChiCTR
tri00228,1,ictrp,ChiCTR2000030264,ChiCTR
tri00229,1,ictrp,ChiCTR2000030263,ChiCTR
tri00230,1,ictrp,ChiCTR2000030261,ChiCTR
tri00231,1,ictrp,ChiCTR2000030260,ChiCTR
tri00232,1,ictrp,ChiCTR2000030259,ChiCTR
tri00233,1,ictrp,ChiCTR2000030258,ChiCTR
tri00234,1,ictrp,ChiCTR2000030257,ChiCTR
tri00235,1,ictrp,ChiCTR2000030255,ChiCTR
tri00236,1,ictrp,ChiCTR2000030253,ChiCTR
tri00237,1,ictrp,ChiCTR2000030226,ChiCTR
tri00238,1,ictrp,ChiCTR2000030225,ChiCTR
tri00239,1,ictrp,ChiCTR2000030223,ChiCTR
tri00240,1,ictrp,ChiCTR2000030222,ChiCTR
tri00241,1,ictrp,ChiCTR2000030219,ChiCTR
tri00242,1,ictrp,ChiCTR2000030218,ChiCTR
tri00243,1,ictrp,ChiCTR2000030215,ChiCTR
tri00244,1,ictrp,ChiCTR2000030196,ChiCTR
tri00245,1,ictrp,ChiCTR2000030162,ChiCTR
tri00246,1,ictrp,ChiCTR2000030091,ChiCTR
tri00247,1,ictrp,ChiCTR2000030042,ChiCTR
tri00248,1,ictrp,ChiCTR2000030022,ChiCTR
tri00249,1,ictrp,ChiCTR2000030013,ChiCTR
tri00250,1,ictrp,ChiCTR2000029991,ChiCTR
tri00251,1,ictrp,ChiCTR2000029975,ChiCTR
tri00252,1,ictrp,ChiCTR2000029952,ChiCTR
tri00253,1,ictrp,ChiCTR2000029900,ChiCTR
tri00254,1,ictrp,ChiCTR2000029899,ChiCTR
tri00255,1,ictrp,ChiCTR2000029898,ChiCTR
tri00256,1,ictrp,ChiCTR2000029829,ChiCTR
tri00257,1,ictrp,ChiCTR2000029762,ChiCTR
tri00258,1,ictrp,ChiCTR2000029761,ChiCTR
tri00259,1,ictrp,ChiCTR2000029760,ChiCTR
tri00260,1,ictrp,ChiCTR2000029759,ChiCTR
tri00261,1,ictrp,ChiCTR2000029755,ChiCTR
tri00262,1,ictrp,ChiCTR2000029728,ChiCTR
tri00263,1,ictrp,ChiCTR2000029387,ChiCTR
tri00264,1,ictrp,ChiCTR2000029386,ChiCTR
tri00265,1,ictrp,NCT04276987,ClinicalTrials.gov
tri00266,1,ictrp,NCT04281693,ClinicalTrials.gov
tri00267,1,ictrp,NCT04282902,ClinicalTrials.gov
tri00267,2,ictrp,ChiCTR2000030333,ChiCTR
tri00268,1,ictrp,NCT04284046,ClinicalTrials.gov
tri00269,1,ictrp,NCT04286503,ClinicalTrials.gov
tri00270,1,ictrp,ChiCTR2000030627,ChiCTR
tri00271,1,ictrp,ChiCTR2000030593,ChiCTR
tri00272,1,ictrp,ChiCTR2000030581,ChiCTR
tri00273,1,ictrp,ChiCTR2000030579,ChiCTR
tri00274,1,ictrp,ChiCTR2000030578,ChiCTR
tri00275,1,ictrp,ChiCTR2000030574,ChiCTR
tri00276,1,ictrp,ChiCTR2000030564,ChiCTR
tri00277,1,ictrp,ChiCTR2000030559,ChiCTR
tri00278,1,ictrp,ChiCTR2000030557,ChiCTR
tri00279,1,ictrp,ChiCTR2000030556,ChiCTR
tri00280,1,ictrp,ChiCTR2000030552,ChiCTR
tri00281,1,ictrp,ChiCTR2000030544,ChiCTR
tri00282,1,ictrp,ChiCTR2000030543,ChiCTR
tri00283,1,ictrp,ChiCTR2000030542,ChiCTR
tri00284,1,ictrp,ChiCTR2000030541,ChiCTR
tri00285,1,ictrp,ChiCTR2000030540,ChiCTR
tri00286,1,ictrp,ChiCTR2000030535,ChiCTR
tri00287,1,ictrp,ChiCTR2000030522,ChiCTR
tri00288,1,ictrp,ChiCTR2000030518,ChiCTR
tri00289,1,ictrp,ChiCTR2000030503,ChiCTR
tri00290,1,ictrp,ChiCTR2000030493,ChiCTR
tri00291,1,ictrp,ChiCTR2000030492,ChiCTR
tri00292,1,ictrp,ChiCTR2000030491,ChiCTR
tri00293,1,ictrp,ChiCTR2000030490,ChiCTR
tri00294,1,ictrp,ChiCTR2000030489,ChiCTR
tri00295,1,ictrp,ChiCTR2000030487,ChiCTR
tri00296,1,ictrp,ChiCTR2000030485,ChiCTR
tri00297,1,ictrp,ChiCTR2000030484,ChiCTR
tri00298,1,ictrp,ChiCTR2000030482,ChiCTR
tri00299,1,ictrp,ChiCTR2000030481,ChiCTR
tri00300,1,ictrp,ChiCTR2000030480,ChiCTR
tri00301,1,ictrp,ChiCTR2000030479,ChiCTR
tri00302,1,ictrp,ChiCTR2000030477,ChiCTR
tri00303,1,ictrp,ChiCTR2000030475,ChiCTR
tri00304,1,ictrp,ChiCTR2000030472,ChiCTR
tri00305,1,ictrp,ChiCTR2000030471,ChiCTR
tri00306,1,ictrp,ChiCTR2000030469,ChiCTR
tri00307,1,ictrp,ChiCTR2000030468,ChiCTR
tri00308,1,ictrp,ChiCTR2000030467,ChiCTR
tri00309,1,ictrp,ChiCTR2000030465,ChiCTR
tri00310,1,ictrp,ChiCTR2000030464,ChiCTR
tri00311,1,ictrp,ChiCTR2000030453,ChiCTR
tri00312,1,ictrp,ChiCTR2000030436,ChiCTR
tri00313,1,ictrp,ChiCTR2000030312,ChiCTR
tri00314,1,ictrp,ChiCTR2000030304,ChiCTR
tri00315,1,ictrp,ChiCTR2000030163,ChiCTR
tri00316,1,ictrp,ChiCTR2000030014,ChiCTR
tri00317,1,ictrp,ChiCTR2000029993,ChiCTR
tri00318,1,ictrp,ChiCTR2000029958,ChiCTR
tri00319,1,ictrp,ChiCTR2000029757,ChiCTR
tri00320,1,ictrp,ChiCTR2000029580,ChiCTR
tri00321,1,ictrp,ChiCTR2000029579,ChiCTR
tri00322,1,ictrp,ChiCTR2000029550,ChiCTR
tri00323,1,ictrp,ChiCTR2000029549,ChiCTR
tri00324,1,ictrp,ChiCTR2000029308,ChiCTR
tri00325,1,ictrp,NCT04292327,ClinicalTrials.gov
tri00326,1,ictrp,NCT04292340,ClinicalTrials.gov
tri00327,1,ictrp,NCT04293887,ClinicalTrials.gov
tri00328,1,ictrp,NCT04295551,ClinicalTrials.gov
tri00329,1,ictrp,NCT04296643,ClinicalTrials.gov
tri00330,1,ictrp,NCT04298814,ClinicalTrials.gov
tri00331,1,ictrp,NCT04299711,ClinicalTrials.gov
tri00332,1,ictrp,ChiCTR2000030902,ChiCTR
tri00333,1,ictrp,ChiCTR2000030901,ChiCTR
tri00334,1,ictrp,ChiCTR2000030898,ChiCTR
tri00335,1,ictrp,ChiCTR2000030897,ChiCTR
tri00336,1,ictrp,ChiCTR2000030896,ChiCTR
tri00337,1,ictrp,ChiCTR2000030895,ChiCTR
tri00338,1,ictrp,ChiCTR2000030893,ChiCTR
tri00339,1,ictrp,ChiCTR2000030892,ChiCTR
tri00340,1,ictrp,ChiCTR2000030883,ChiCTR
tri00341,1,ictrp,ChiCTR2000030866,ChiCTR
tri00342,1,ictrp,ChiCTR2000030865,ChiCTR
tri00343,1,ictrp,ChiCTR2000030864,ChiCTR
tri00344,1,ictrp,ChiCTR2000030863,ChiCTR
tri00345,1,ictrp,ChiCTR2000030862,ChiCTR
tri00346,1,ictrp,ChiCTR2000030861,ChiCTR
tri00347,1,ictrp,ChiCTR2000030860,ChiCTR
tri00348,1,ictrp,ChiCTR2000030859,ChiCTR
tri00349,1,ictrp,ChiCTR2000030858,ChiCTR
tri00350,1,ictrp,ChiCTR2000030857,ChiCTR
tri00351,1,ictrp,ChiCTR2000030856,ChiCTR
tri00352,1,ictrp,ChiCTR2000030855,ChiCTR
tri00353,1,ictrp,ChiCTR2000030854,ChiCTR
tri00354,1,ictrp,ChiCTR2000030853,ChiCTR
tri00355,1,ictrp,ChiCTR2000030852,ChiCTR
tri00356,1,ictrp,ChiCTR2000030850,ChiCTR
tri00357,1,ictrp,ChiCTR2000030849,ChiCTR
tri00358,1,ictrp,ChiCTR2000030841,ChiCTR
tri00359,1,ictrp,ChiCTR2000030839,ChiCTR
tri00360,1,ictrp,ChiCTR2000030838,ChiCTR
tri00361,1,ictrp,ChiCTR2000030836,ChiCTR
tri00362,1,ictrp,ChiCTR2000030835,ChiCTR
tri00363,1,ictrp,ChiCTR2000030834,ChiCTR
tri00364,1,ictrp,ChiCTR2000030833,ChiCTR
tri00365,1,ictrp,ChiCTR2000030832,ChiCTR
tri00366,1,ictrp,ChiCTR2000030831,ChiCTR
tri00367,1,ictrp,ChiCTR2000030830,ChiCTR
tri00368,1,ictrp,ChiCTR2000030819,ChiCTR
tri00369,1,ictrp,ChiCTR2000030818,ChiCTR
tri00370,1,ictrp,ChiCTR2000030816,ChiCTR
tri00371,1,ictrp,ChiCTR2000030814,ChiCTR
tri00372,1,ictrp,ChiCTR2000030812,ChiCTR
tri00373,1,ictrp,ChiCTR2000030810,ChiCTR
tri00374,1,ictrp,ChiCTR2000030809,ChiCTR
tri00375,1,ictrp,ChiCTR2000030807,ChiCTR
tri00376,1,ictrp,ChiCTR2000030806,ChiCTR
tri00377,1,ictrp,ChiCTR2000030805,ChiCTR
tri00378,1,ictrp,ChiCTR2000030804,ChiCTR
tri00379,1,ictrp,ChiCTR2000030803,ChiCTR
tri00380,1,ictrp,ChiCTR2000030802,ChiCTR
tri00381,1,ictrp,ChiCTR2000030801,ChiCTR
tri00382,1,ictrp,ChiCTR2000030800,ChiCTR
tri00383,1,ictrp,ChiCTR2000030799,ChiCTR
tri00384,1,ictrp,ChiCTR2000030798,ChiCTR
tri00385,1,ictrp,ChiCTR2000030797,ChiCTR
tri00386,1,ictrp,ChiCTR2000030796,ChiCTR
tri00387,1,ictrp,ChiCTR2000030795,ChiCTR
tri00388,1,ictrp,ChiCTR2000030784,ChiCTR
tri00389,1,ictrp,ChiCTR2000030782,ChiCTR
tri00390,1,ictrp,ChiCTR2000030779,ChiCTR
tri00391,1,ictrp,ChiCTR2000030778,ChiCTR
tri00392,1,ictrp,ChiCTR2000030773,ChiCTR
tri00393,1,ictrp,ChiCTR2000030768,ChiCTR
tri00394,1,ictrp,ChiCTR2000030764,ChiCTR
tri00395,1,ictrp,ChiCTR2000030763,ChiCTR
tri00396,1,ictrp,ChiCTR2000030762,ChiCTR
tri00397,1,ictrp,ChiCTR2000030761,ChiCTR
tri00398,1,ictrp,ChiCTR2000030760,ChiCTR
tri00399,1,ictrp,ChiCTR2000030759,ChiCTR
tri00400,1,ictrp,ChiCTR2000030758,ChiCTR
tri00401,1,ictrp,ChiCTR2000030757,ChiCTR
tri00402,1,ictrp,ChiCTR2000030756,ChiCTR
tri00403,1,ictrp,ChiCTR2000030755,ChiCTR
tri00404,1,ictrp,ChiCTR2000030754,ChiCTR
tri00405,1,ictrp,ChiCTR2000030753,ChiCTR
tri00406,1,ictrp,ChiCTR2000030752,ChiCTR
tri00407,1,ictrp,ChiCTR2000030751,ChiCTR
tri00408,1,ictrp,ChiCTR2000030747,ChiCTR
tri00409,1,ictrp,ChiCTR2000030744,ChiCTR
tri00410,1,ictrp,ChiCTR2000030742,ChiCTR
tri00411,1,ictrp,ChiCTR2000030741,ChiCTR
tri00412,1,ictrp,ChiCTR2000030740,ChiCTR
tri00413,1,ictrp,ChiCTR2000030739,ChiCTR
tri00414,1,ictrp,ChiCTR2000030722,ChiCTR
tri00415,1,ictrp,ChiCTR2000030721,ChiCTR
tri00416,1,ictrp,ChiCTR2000030720,ChiCTR
tri00417,1,ictrp,ChiCTR2000030719,ChiCTR
tri00418,1,ictrp,ChiCTR2000030718,ChiCTR
tri00419,1,ictrp,ChiCTR2000030717,ChiCTR
tri00420,1,ictrp,ChiCTR2000030716,ChiCTR
tri00421,1,ictrp,ChiCTR2000030708,ChiCTR
tri00422,1,ictrp,ChiCTR2000030707,ChiCTR
tri00423,1,ictrp,ChiCTR2000030706,ChiCTR
tri00424,1,ictrp,ChiCTR2000030703,ChiCTR
tri00425,1,ictrp,ChiCTR2000030702,ChiCTR
tri00426,1,ictrp,ChiCTR2000030701,ChiCTR
tri00427,1,ictrp,ChiCTR2000030700,ChiCTR
tri00428,1,ictrp,ChiCTR2000030697,ChiCTR
tri00429,1,ictrp,ChiCTR2000030690,ChiCTR
tri00430,1,ictrp,ChiCTR2000030687,ChiCTR
tri00431,1,ictrp,ChiCTR2000030686,ChiCTR
tri00432,1,ictrp,ChiCTR2000030683,ChiCTR
tri00433,1,ictrp,ChiCTR2000030681,ChiCTR
tri00434,1,ictrp,ChiCTR2000030679,ChiCTR
tri00435,1,ictrp,ChiCTR2000030619,ChiCTR
tri00436,1,ictrp,ChiCTR2000030606,ChiCTR
tri00437,1,ictrp,ChiCTR2000030597,ChiCTR
tri00438,1,ictrp,ChiCTR2000030580,ChiCTR
tri00439,1,ictrp,ChiCTR2000030558,ChiCTR
tri00440,1,ictrp,ChiCTR2000030545,ChiCTR
tri00441,1,ictrp,ChiCTR2000030528,ChiCTR
tri00442,1,ictrp,ChiCTR2000030509,ChiCTR
tri00443,1,ictrp,ChiCTR2000030483,ChiCTR
tri00444,1,ictrp,ChiCTR2000030478,ChiCTR
tri00445,1,ictrp,ChiCTR2000030476,ChiCTR
tri00446,1,ictrp,ChiCTR2000030466,ChiCTR
tri00447,1,ictrp,ChiCTR2000030417,ChiCTR
tri00448,1,ictrp,ChiCTR2000030388,ChiCTR
tri00449,1,ictrp,ChiCTR2000030381,ChiCTR
tri00450,1,ictrp,ChiCTR2000030329,ChiCTR
tri00451,1,ictrp,ChiCTR2000030306,ChiCTR
tri00452,1,ictrp,ChiCTR2000030221,ChiCTR
tri00453,1,ictrp,ChiCTR2000030187,ChiCTR
tri00454,1,ictrp,ChiCTR2000030135,ChiCTR
tri00455,1,ictrp,ChiCTR2000030114,ChiCTR
tri00456,1,ictrp,ChiCTR2000030085,ChiCTR
tri00457,1,ictrp,ChiCTR2000030082,ChiCTR
tri00458,1,ictrp,ChiCTR2000030055,ChiCTR
tri00459,1,ictrp,ChiCTR2000030031,ChiCTR
tri00460,1,ictrp,ChiCTR2000030005,ChiCTR
tri00461,1,ictrp,ChiCTR2000029984,ChiCTR
tri00462,1,ictrp,ChiCTR2000029957,ChiCTR
tri00463,1,ictrp,ChiCTR2000029895,ChiCTR
