trialid,search_type,pub_type,search_engine,doi,pmid,cord_id,url,date_publication,date_completion,comments
ChiCTR2000029868,trn,full_results_preprint,europe_pmc,10.1101/2020.04.10.20060558,NA,NA,https://www.medrxiv.org/content/10.1101/2020.04.10.20060558v1?versioned=true,2020-04-14,2020-03-14,NA
IRCT20190727044343N1,keywords,full_results_journal_article,pubmed,10.1111/ijcp.13600,32603531,NA,https://pubmed.ncbi.nlm.nih.gov/32603531/,2020-06-30,NA,NA
IRCT20200328046886N1,trn,full_results_journal_article,pubmed,10.1093/jac/dkaa332,32812025,NA,https://pubmed.ncbi.nlm.nih.gov/32812025/,2020-08-19,NA,NA
NCT04323527,results_check,interim_results_preprint,NA,10.1101/2020.04.07.20056424,NA,ifxm3j4y,https://doi.org/10.1101/2020.04.07.20056424,2020-04-11,NA,NA
NCT04323527,results_check,interim_results_journal_article,NA,10.1001/jamanetworkopen.2020.8857,32330277,NA,NA,2020-04-24,NA,NA
NCT04408209,trn,interim_results_preprint,europe_pmc,10.21203/rs.3.rs-64465/v1,NA,NA,https://www.researchsquare.com/article/rs-64465/v1,2020-09-08,NA,"preliminary report, preprint"
NCT04316377,registry,full_results_journal_article,NA,10.1038/s41467-020-19056-6,33082342,NA,https://www.nature.com/articles/s41467-020-19056-6,2020-10-20,NA,NA
NCT04316377,registry,full_results_journal_article,NA,10.1038/s41467-020-19056-6,33082342,NA,https://www.nature.com/articles/s41467-020-19056-6,2020-10-20,2020-05-25,NA
NCT04316377,trn,full_results_preprint,europe_pmc,10.21203/rs.3.rs-44055/v1,NA,NA,https://www.researchsquare.com/article/rs-44055/v1,2020-07-17,NA,NA
NCT04346355,registry,full_results_journal_article,NA,10.1001/jamainternmed.2020.6615,33080005,NA,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2772186,2020-10-20,2020-06-11,"On June 11, 2020, the trial Scientific Committee decided to interrupt the study for futility with an enrollment of 126 patients."
NCT04441424,keywords,full_results_journal_article,google,NA,32920571,NA,https://europepmc.org/article/med/32920571,2020-09-01,NA,no doi from journal
NCT04441424,keywords,full_results_preprint,google,10.1101/2020.06.24.20121905,NA,NA,https://www.medrxiv.org/content/10.1101/2020.06.24.20121905v1?versioned=true,2020-06-29,NA,NA
ChiCTR2000030627,trn,full_results_preprint,europe_pmc,10.1101/2020.08.02.20166710,NA,NA,https://www.medrxiv.org/content/10.1101/2020.08.02.20166710v1,2020-08-04,NA,"Trial registration had control. Full results preprint does NOT have control, but same study."
NCT04317092,results_check,full_results_preprint,NA,10.1101/2020.06.01.20119149,NA,xv0jhsj0,http://medrxiv.org/cgi/content/short/2020.06.01.20119149v1?rss=1,2020-06-05,2020-04-04,NA
NCT04317092,registry,full_results_journal_article,NA,10.1186/s12967-020-02573-9,33087150,NA,NA,2020-10-21,NA,NA
NCT04324489,trn,full_results_journal_article,pubmed,10.1097/CCE.0000000000000263,33134951,NA,https://pubmed.ncbi.nlm.nih.gov/33134951/,2020-10-01,NA,NA
NCT04340050,registry,full_results_preprint,NA,10.2139/ssrn.3605131,NA,NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3605131,2020-06-16,NA,NA
NCT04340050,results_check,other,NA,10.1101/2020.06.21.20132944,NA,x2t5h5gu,http://medrxiv.org/cgi/content/short/2020.06.21.20132944v1?rss=1,2020-06-23,NA,NA
NCT04313127,results_check,full_results_journal_article,NA,10.1016/S0140-6736(20)31208-3,32450106,uj5deryi,https://doi.org/10.1016/s0140-6736(20)31208-3; https://www.sciencedirect.com/science/article/pii/S0140673620312083; https://www.ncbi.nlm.nih.gov/pubmed/32450106/; https://api.elsevier.com/content/arti,2020-05-22,NA,NA
NCT04340050,registry,other,NA,10.1111/joim.13185,NA,NA,NA,2020-10-09,NA,This is the pub of the medrxiv preprint.
ChiCTR2000029853,trn,full_results_journal_article,pubmed,10.1002/advs.202001435,32837847,NA,https://onlinelibrary.wiley.com/doi/10.1002/advs.202001435,2020-07-14,NA,NA
ChiCTR2000029381,results_check,full_results_journal_article,NA,10.3760/cma.j.cn121430-20200406-00386,32527346,NA,NA,2020-04-28,NA,NA
ChiCTR2000030054,results_check,full_results_preprint,NA,10.1101/2020.06.19.20136093,NA,t1vom8f3,http://medrxiv.org/cgi/content/short/2020.06.19.20136093v1?rss=1,2020-06-22,NA,NA
IRCT20151227025726N12,results_check,full_results_journal_article,NA,10.1016/j.intimp.2020.106688,32544867,m7rx8tv9,https://www.ncbi.nlm.nih.gov/pubmed/32544867/; https://doi.org/10.1016/j.intimp.2020.106688; https://www.sciencedirect.com/science/article/pii/S1567576920312893?v=s5; https://api.elsevier.com/content/,2020-06-07,NA,NA
ChiCTR2000029822,trn,full_results_journal_article,google_scholar,10.1038/s41421-020-00197-3,32802404,NA,NA,2020-08-05,NA,correspondence
ChiCTR2000030055,keywords,full_results_preprint,europe_pmc,10.1101/2020.02.27.20027557,NA,NA,https://www.medrxiv.org/content/10.1101/2020.02.27.20027557v1,2020-02-29,NA,NA
ChiCTR2000030055,results_check,full_results_journal_article,NA,10.1016/j.apsb.2020.04.008,32318327,k7bh8bf7,https://api.elsevier.com/content/article/pii/S2211383520305529; https://doi.org/10.1016/j.apsb.2020.04.008; https://www.ncbi.nlm.nih.gov/pubmed/32318327/; https://www.sciencedirect.com/science/article,2020-04-20,NA,NA
NCT04320238,results_check,full_results_preprint,NA,10.1101/2020.04.11.20061473,NA,z68tl88x,https://doi.org/10.1101/2020.04.11.20061473,2020-04-17,NA,NA
NCT04316377,registry,other,NA,10.1186/s13063-020-04420-0,32503662,NA,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-020-04420-0,2020-06-05,NA,protocol
NCT04441424,registry,other,NA,NA,NA,NA,https://clinicaltrials.gov/ProvidedDocs/24/NCT04441424/Prot_SAP_000.pdf,2020-06-01,NA,protocol
NCT04261517,results_check,full_results_journal_article,NA,10.3785/j.issn.1008-9292.2020.03.03,32391667,NA,NA,2020-05-25,NA,NA
ChiCTR2000030704,results_check,full_results_preprint,NA,10.1101/2020.05.20.20107607,NA,1q8972uo,http://medrxiv.org/cgi/content/short/2020.05.20.20107607v1?rss=1,2020-05-26,NA,NA
ChiCTR2000029496,results_check,full_results_preprint,NA,10.1101/2020.04.24.20077735,NA,rq5gh710,http://medrxiv.org/cgi/content/short/2020.04.24.20077735v1?rss=1,2020-04-29,NA,NA
ChiCTR2000029308,results_check,full_results_journal_article,NA,10.1056/NEJMoa2001282,32187464,NA,NA,2020-03-18,NA,NA
JPRN-JapicCTI-205238,keywords,other,google,NA,NA,NA,https://www.fujifilm.com/jp/en/news/hq/5451#,2020-09-23,NA,"press release published in September, as of today (2020-12-27) I could not identify a full publication"
ChiCTR2000031630,results_check,full_results_preprint,NA,10.1101/2020.05.05.20077610,NA,a1gf76bu,http://medrxiv.org/cgi/content/short/2020.05.05.20077610v1?rss=1,2020-05-11,NA,NA
ChiCTR2000031630,trn,full_results_journal_article,google_scholar,10.3389/fphar.2020.561674,NA,NA,https://www.frontiersin.org/articles/10.3389/fphar.2020.561674/full,2020-11-06,NA,NA
ChiCTR2000031630,registry,summary_results,NA,NA,NA,NA,https://drive.google.com/file/d/1E88CDMrgichIvQozs4NrCFGcu4t49Reu/view?usp=sharing,NA,NA,registry results as uploaded spreadsheet
ChiCTR2000030022,trn,full_results_journal_article,google_scholar,10.1097/JBR.0000000000000076,NA,NA,https://journals.lww.com/jbioxresearch/Abstract/9000/Clinical_efficacy_of_low_dose_emetine_for_patients.99938.aspx,2020-12-03,NA,report incorrect dates (2019)
ChiCTR2000029435,registry,other,NA,NA,NA,NA,http://www.chictr.org.cn/showproj.aspx?proj=48827,NA,NA,uploaded doc in chinese as registry results but seems to be protocol
ChiCTR2000029778,trn,full_results_journal_article,europe_pmc,10.1016/j.biopha.2020.110500,NA,NA,https://www.sciencedirect.com/science/article/pii/S0753332220306934?via%3Dihub,2020-07-04,NA,NA
NCT04422561,registry,summary_results,NA,NA,NA,NA,https://clinicaltrials.gov/ct2/show/results/NCT04422561,2020-08-27,NA,NA
NCT04328961,registry,full_results_journal_article,NA,10.7326/M20-6519,33284679,NA,NA,2020-12-08,NA,NA
NCT04381936,results_check,interim_results_preprint,NA,10.1101/2020.06.22.20137273,NA,ocguwlam,http://medrxiv.org/cgi/content/short/2020.06.22.20137273v1?rss=1,2020-06-22,NA,NA
NCT04381936,registry,interim_result,NA,10.1056/NEJMoa2021436,32678530,NA,https://www.nejm.org/doi/10.1056/NEJMoa2021436,2020-07-17,NA,NA
NCT04381936,registry,interim_results_journal_article,NA,10.1016/S0140-6736(20)32013-4,33031764,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)32013-4/fulltext,2020-10-05,NA,NA
NCT04381936,registry,full_results_journal_article,NA,10.1056/NEJMoa2022926,33031652,NA,https://www.nejm.org/doi/10.1056/NEJMoa2022926,2020-11-19,NA,NA
NCT04381936,registry,interim_results_preprint,NA,10.1101/2020.12.10.20245944,NA,NA,NA,2020-12-14,NA,NA
NCT04408456,trn,full_results_journal_article,europe_pmc,10.1016/j.ijantimicag.2020.106224,33166694,NA,https://www.sciencedirect.com/science/article/pii/S0924857920304350?via%3Dihub,2020-11-06,NA,NA
NCT04348474,trn,other,google_scholar,NA,NA,NA,https://static.poder360.com.br/2020/04/2020.04.15-journal-manuscript-final.pdf,NA,NA,NA
NCT04422561,registry,other,NA,NA,NA,NA,https://clinicaltrials.gov/ProvidedDocs/61/NCT04422561/Prot_SAP_000.pdf,2020-05-31,NA,protocol
NCT04328961,registry,other,NA,10.1186/s13063-020-04446-4,32493478,NA,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-020-04446-4,2020-06-03,NA,protocol
ChiCTR2000029851,results_check,full_results_preprint,NA,10.1101/2020.04.15.20066266,NA,mvsnybbo,http://medrxiv.org/cgi/content/short/2020.04.15.20066266v1?rss=1,2020-04-21,NA,NA
ChiCTR2000029600,results_check,full_results_journal_article,NA,10.1016/j.eng.2020.03.007,32346491,8caqxfxv,https://api.elsevier.com/content/article/pii/S2095809920300631; https://www.sciencedirect.com/science/article/pii/S2095809920300631; https://www.ncbi.nlm.nih.gov/pubmed/32346491/; https://doi.org/10.1,2020-03-18,NA,NA
ChiCTR2000030939,results_check,full_results_preprint,NA,10.1101/2020.05.11.20064584,NA,7g3keqx9,http://medrxiv.org/cgi/content/short/2020.05.11.20064584v1?rss=1,2020-05-15,NA,NA
ChiCTR2000030261,trn,full_results_preprint,NA,10.2139/ssrn.3678558,NA,NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3678558,2020-10-12,2020-04-30,NA
ChiCTR2000030261,trn,full_results_preprint,NA,10.21203/rs.3.rs-99753/v1,NA,NA,https://www.researchsquare.com/article/rs-99753/v1,2020-11-02,2020-04-30,NA
ChiCTR2000030001,keywords,full_results_journal_article,pubmed,10.1016/j.eng.2020.08.011,32923016,NA,https://www.sciencedirect.com/science/article/pii/S2095809920302411?via%3Dihub,2020-09-08,NA,NA
ChiCTR2000030001,registry,summary_results,NA,NA,NA,NA,http://www.chictr.org.cn/showproj.aspx?proj=49723,2020-06-17,NA,NA
NCT04273763,trn,full_results_journal_article,europe_pmc,10.1111/cts.12881,32881359,NA,https://ascpt.onlinelibrary.wiley.com/doi/10.1111/cts.12881,2020-09-03,NA,NA
ChiCTR2000029765,trn,full_results_preprint,google_scholar,10.2139/ssrn.3667681,NA,NA,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3667681,2020-08-29,NA,NA
IRCT20200523047550N1,keywords,full_results_preprint,europe_pmc,10.21203/rs.3.rs-91430/v1,NA,NA,https://www.researchsquare.com/article/rs-91430/v1,2020-10-19,2020-06-04,NA
IRCT20200128046294N2,trn,full_results_journal_article,pubmed,10.1093/jac/dkaa334,32812039,NA,https://academic.oup.com/jac/article/75/11/3379/5889948,2020-08-19,NA,NA
NCT04356937,registry,full_results_journal_article,NA,10.1056/NEJMoa2028836,33085857,NA,https://www.nejm.org/doi/10.1056/NEJMoa2028836,2020-10-21,NA,NA
NCT04369742,trn,full_results_journal_article,europe_pmc,10.1093/ofid/ofaa446,33134417,NA,https://academic.oup.com/ofid/article/7/10/ofaa446/5910201,2020-09-23,NA,NA
NCT04329832,registry,full_results_journal_article,NA,10.1513/AnnalsATS.202008-940OC,33166179,NA,https://www.atsjournals.org/doi/10.1513/AnnalsATS.202008-940OC,2020-11-09,NA,NA
NCT04329832,registry,other,NA,10.1513/AnnalsATS.202004-309SD,32425051,NA,https://www.atsjournals.org/doi/abs/10.1513/AnnalsATS.202004-309SD,2020-08-01,NA,Protocol
NCT04393051,keywords,other,google,NA,NA,NA,https://www.simit.org/formazione/protocolli-covid-19/56-baricivid-19-study-multicentre-randomised-phase-iia-clinical-trial-evaluating-efficacy-and-tolerability-of-baricitinib-as-add-on-treatment-of-pa,2020-04-22,NA,Protocol
NCT04280705,registry,other,NA,NA,NA,NA,https://clinicaltrials.gov/ProvidedDocs/05/NCT04280705/SAP_002.pdf,2020-05-29,NA,Statistical Analysis Plan (SAP) v3
NCT04280705,registry,other,NA,NA,NA,NA,https://clinicaltrials.gov/ProvidedDocs/05/NCT04280705/Prot_001.pdf,2020-04-02,NA,Protocol v3
NCT04280705,registry,summary_results,NA,NA,NA,NA,https://clinicaltrials.gov/ct2/show/results/NCT04280705,2020-09-25,NA,Registry results updated 2020-12-09.
NCT04371367,keywords,other,google,NA,NA,NA,https://www.innate-pharma.com/media/all-press-releases/first-patient-dosed-avdoralimab-phase-ii-clinical-trial-covid-19-patients-severe-pneumonia,2020-04-28,NA,Press release that first patient dosed
EUCTR2020-001934-37-ES,results_check,full_results_preprint,NA,10.1101/2020.06.17.20133579,NA,zql4zhyk,http://medrxiv.org/cgi/content/short/2020.06.17.20133579v1?rss=1,2020-06-18,NA,NA
ChiCTR2000030058,trn,full_results_journal_article,europe_pmc,10.1093/cid/ciaa1417,NA,NA,NA,2020-09-21,NA,NA
ChiCTR2000030058,trn,full_results_journal_article,europe_pmc,10.1007/s12250-020-00258-7,NA,NA,NA,2020-07-21,NA,NA
NCT04280705,registry,full_results_journal_article,NA,10.1056/NEJMoa2007764,32445440,NA,https://www.nejm.org/doi/10.1056/NEJMoa2007764,2020-10-08,2020-04-22,NA
NCT04280705,results_check,interim_results_journal_article,NA,10.1056/NEJMoa2007764,32445440,NA,NA,2020-05-22,NA,NA
NCT04384380,trn,full_results_preprint,europe_pmc,10.1101/2020.07.08.20148841,NA,NA,https://www.medrxiv.org/content/10.1101/2020.07.08.20148841v1,2020-07-10,NA,NA
NCT04384380,trn,full_results_journal_article,europe_pmc,10.1371/journal.pone.0242763,33264337,NA,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0242763,2020-12-02,NA,NA
NCT04378712,trn,full_results_journal_article,europe_pmc,10.21037/jtd-2020-057,32642277,NA,http://jtd.amegroups.com/article/view/40994/html,2020-06-15,NA,NA
NCT04292899,results_check,full_results_journal_article,NA,10.1056/NEJMoa2015301,32459919,NA,https://www.nejm.org/doi/10.1056/NEJMoa2015301,2020-05-27,NA,NA
NCT04292899,registry,summary_results,NA,NA,NA,NA,https://clinicaltrials.gov/ct2/show/results/NCT04292899,2020-12-31,NA,NA
NCT04343092,registry,summary_results,NA,NA,NA,NA,https://clinicaltrials.gov/ct2/show/results/NCT04343092,2020-11-04,NA,NA
NCT04343092,trn,full_results_preprint,europe_pmc,10.1101/2020.07.07.20145979,NA,NA,https://www.medrxiv.org/content/10.1101/2020.07.07.20145979v1,2020-07-08,NA,NA
NCT04356534,trn,full_results_preprint,europe_pmc,10.1101/2020.11.02.20224303,NA,NA,https://www.medrxiv.org/content/10.1101/2020.11.02.20224303v1,2020-11-04,NA,NA
NCT04346446,trn,full_results_preprint,europe_pmc,10.1101/2020.10.25.20219337,NA,NA,https://www.medrxiv.org/content/10.1101/2020.10.25.20219337v1,2020-10-27,2020-05-30,NA
NCT04275414,keywords,full_results_preprint,europe_pmc,10.1101/2020.07.26.20159756,NA,NA,https://www.medrxiv.org/content/10.1101/2020.07.26.20159756v1,2020-07-29,NA,NA
NCT04257656,results_check,interim_results_journal_article,NA,10.1016/S0140-6736(20)31022-9,32423584,bzeqs5oh,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31022-9/fulltext,2020-04-29,2020-04-10,NA
ChiCTR2000030254,trn,full_results_preprint,europe_pmc,10.1101/2020.03.17.20037432,NA,NA,https://www.medrxiv.org/content/10.1101/2020.03.17.20037432v4,2020-03-20,NA,NA
ChiCTR2000029990,results_check,full_results_journal_article,NA,10.14336/ad.2020.0228,32257537,ghfrwccu,https://www.ncbi.nlm.nih.gov/pubmed/32257537/; https://doi.org/10.14336/ad.2020.0228,2020-03-13,NA,NA
ChiCTR2000029544,trn,full_results_preprint,europe_pmc,10.1101/2020.04.29.20085761,NA,NA,https://www.medrxiv.org/content/10.1101/2020.04.29.20085761v1,2020-05-05,NA,NA
ChiCTR2000029544,keywords,full_results_journal_article,google_scholar,10.1016/j.ejps.2020.105631,33115675,NA,https://www.sciencedirect.com/science/article/abs/pii/S092809872030419X?via%3Dihub,2020-10-25,NA,NA
NCT04322396,registry,other,NA,10.1186/s13063-020-04409-9,32522282,NA,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-020-04409-9,2020-06-10,NA,protocol
NCT04322396,registry,other,NA,10.1186/s13063-020-04795-0,33081817,NA,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-020-04795-0,2020-10-20,NA,statistical analysis plan
NCT04292899,trn,other,pubmed,10.1056/NEJMoa2015301,32459919,NA,https://www.nejm.org/doi/suppl/10.1056/NEJMoa2015301/suppl_file/nejmoa2015301_protocol.pdf,2020-05-27,NA,protocol (supplement to publication)
NCT04257656,registry,other,NA,10.1186/s13063-020-04352-9,32448345,NA,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-020-04352-9,2020-05-24,NA,protocol
NCT04291729,trn,full_results_preprint,europe_pmc,10.1101/2020.03.22.20034041,NA,NA,https://www.medrxiv.org/content/10.1101/2020.03.22.20034041v1,2020-03-24,NA,NA
NCT04291729,trn,full_results_journal_article,europe_pmc,10.1097/MD.0000000000023357,33235105,NA,https://journals.lww.com/md-journal/Fulltext/2020/11250/First_clinical_study_using_HCV_protease_inhibitor.53.aspx,2020-11-25,NA,NA
ChiCTR2000030007,trn,full_results_journal_article,pubmed,10.1001/jamainternmed.2020.5503,32910179,NA,https://jamanetwork.com/journals/jamainternalmedicine/fullarticle/2770680,2020-09-10,2020-04-10,NA
EUCTR2020-000890-25-FR,results_check,full_results_preprint,NA,10.1101/2020.03.16.20037135,NA,tdlcb9bf,https://doi.org/10.1101/2020.03.16.20037135,2020-03-20,NA,NA
EUCTR2020-000890-25-FR,results_check,full_results_journal_article,NA,10.1016/j.ijantimicag.2020.105949,32205204,5o9bbspc,https://www.sciencedirect.com/science/article/pii/S0924857920300996?v=s5; https://doi.org/10.1016/j.ijantimicag.2020.105949; https://www.ncbi.nlm.nih.gov/pubmed/32205204/; https://api.elsevier.com/con,2020-03-20,NA,NA
ChiCTR2000029757,results_check,full_results_journal_article,NA,10.1001/jama.2020.10044,32492084,NA,NA,2020-06-03,2020-04-28,NA
ChiCTR2000030046,results_check,full_results_journal_article,NA,10.1073/pnas.2004168117,32253318,rbgoabfk,https://www.ncbi.nlm.nih.gov/pubmed/32253318/; https://doi.org/10.1073/pnas.2004168117,2020-04-06,NA,NA
ChiCTR2000029418,results_check,full_results_preprint,NA,10.1101/2020.03.27.20044974,NA,4as055wh,http://medrxiv.org/cgi/content/short/2020.03.27.20044974v1?rss=1,2020-04-01,NA,NA
ChiCTR2000029418,results_check,full_results_journal_article,NA,10.3389/fmed.2020.00256,32574340,c2erqns2,https://doi.org/10.3389/fmed.2020.00256; https://www.ncbi.nlm.nih.gov/pubmed/32574340/,2020-05-27,NA,NA
NCT04252885,results_check,full_results_preprint,NA,10.1101/2020.03.19.20038984,NA,9hknw4ws,https://doi.org/10.1101/2020.03.19.20038984,2020-04-15,NA,NA
NCT04252885,results_check,full_results_journal_article,NA,10.1016/j.medj.2020.04.001,NA,ytqjxzaa,https://doi.org/10.1016/j.medj.2020.04.001; https://www.sciencedirect.com/science/article/pii/S2666634020300015?v=s5; https://api.elsevier.com/content/article/pii/S2666634020300015,2020-05-04,NA,NA
NCT04310228,trn,full_results_journal_article,NA,10.1016/j.biopha.2020.110825,33378989,NA,https://www.sciencedirect.com/science/article/pii/S0753332220310180?via%3Dihub,2020-09-30,NA,NA
NCT04368377,results_check,full_results_journal_article,NA,10.1016/j.phrs.2020.104950,32450344,qx677js6,https://www.sciencedirect.com/science/article/pii/S1043661820312585?v=s5; https://api.elsevier.com/content/article/pii/S1043661820312585; https://www.ncbi.nlm.nih.gov/pubmed/32450344/; https://doi.org,2020-05-23,NA,NA
NCT04351620,keywords,other,google,NA,NA,NA,https://acrabstracts.org/abstract/phase-i-trial-of-high-dose-hydroxychloroquine-for-the-treatment-of-ambulatory-patients-with-mild-covid-19-a-study-in-the-effects-of-shifting-public-opinion-on-patient,2020-11-09,2020-05-29,NA
