doi,pmid,cord_id,url,title,pub_type,date_publication,date_completion,trn_1,trn_2
10.1056/NEJMoa2001282,32187464,NA,NA,NA,full_results_journal_article,2020-03-18,NA,ChiCTR2000029308,NA
10.1093/jmcb/mjaa014,32236562,NA,NA,NA,interim_results_journal_article,2020-04-01,NA,ChiCTR2000029542,NA
10.1101/2020.05.11.20064584,NA,7g3keqx9,http://medrxiv.org/cgi/content/short/2020.05.11.20064584v1?rss=1,"Preliminary evaluation of the safety and efficacy of oral human antimicrobial peptide LL-37 in the treatment of patients of COVID-19, a small-scale, single-arm, exploratory safety study",full_results_preprint,2020-05-15,NA,ChiCTR2000030939,NA
10.1101/2020.04.11.20061473,NA,z68tl88x,https://doi.org/10.1101/2020.04.11.20061473,An experimental trial of recombinant human interferon alpha nasal drops to prevent coronavirus disease 2019 in medical staff in an epidemic area,full_results_preprint,2020-04-17,NA,NCT04320238,NA
10.1056/NEJMoa2016638,32492293,NA,NA,NA,full_results_journal_article,2020-06-03,NA,NCT04308668,NA
10.1136/bmj.m1849,32409561,NA,NA,NA,full_results_journal_article,2020-05-14,2020-03-14,ChiCTR2000029868,NA
10.1016/j.ctcp.2020.101166,32379637,NA,NA,NA,full_results_journal_article,2020-04-01,NA,NA,NA
10.1101/2020.05.05.20077610,NA,a1gf76bu,http://medrxiv.org/cgi/content/short/2020.05.05.20077610v1?rss=1,Celebrex adjuvant therapy on COVID-19: An experimental study,full_results_preprint,2020-05-11,NA,ChiCTR2000031630,NA
10.1016/j.phymed.2020.153242,32425361,eb4z3u66,https://api.elsevier.com/content/article/pii/S0944711320300738; https://www.ncbi.nlm.nih.gov/pubmed/32425361/; https://www.sciencedirect.com/science/article/pii/S0944711320300738?v=s5; https://doi.org/10.1016/j.phymed.2020.153242,"Efficacy and Safety of Lianhuaqingwen Capsules, a repurposed Chinese Herb, in Patients with Coronavirus disease 2019: A multicenter, prospective, randomized controlled trial",full_results_journal_article,2020-05-16,NA,ChiCTR2000029434,NA
10.3389/fmed.2020.00256,32574340,c2erqns2,https://doi.org/10.3389/fmed.2020.00256; https://www.ncbi.nlm.nih.gov/pubmed/32574340/,Guideline-Based Chinese Herbal Medicine Treatment Plus Standard Care for Severe Coronavirus Disease 2019 (G-CHAMPS): Evidence From China,full_results_journal_article,2020-05-27,NA,ChiCTR2000029418,NA
10.1101/2020.05.29.20114223,NA,rkf971xn,http://medrxiv.org/cgi/content/short/2020.05.29.20114223v1?rss=1,Efficacy and Safety of Leflunomide for Refractory COVID-19: An Open-label Controlled Study,full_results_preprint,2020-06-02,NA,ChiCTR2000030058,NA
10.1001/jamanetworkopen.2020.8857,32330277,NA,NA,NA,interim_results_journal_article,2020-04-24,NA,NCT04323527,NA
10.1016/j.ijantimicag.2020.105949,32205204,5o9bbspc,https://www.sciencedirect.com/science/article/pii/S0924857920300996?v=s5; https://doi.org/10.1016/j.ijantimicag.2020.105949; https://www.ncbi.nlm.nih.gov/pubmed/32205204/; https://api.elsevier.com/content/article/pii/S0924857920300996,Hydroxychloroquine and azithromycin as a treatment of COVID-19: results of an open-label non-randomized clinical trial,full_results_journal_article,2020-03-20,NA,EUCTR2020-000890-25-FR,NA
